County,State,"Number of physicians, 2004",Number of deaths in 2004,Death Rate in 2004,Personal Income per capita 2004,Total Persons,% under 5 years,% 5- 14 years,% 15- 24 years,% 25- 34 years,% 35 - 44 years,% 45-54 years,% 55- 64 yrs,%65-74,75 +,white,african american,asian,american indian and alaska native,native hawaiian / other pacific islander,hispanic or latino,number of males per 100 females
Vanderburgh,IN,614,"1,824",10.5,"34,194","112,178",6.8,12.8,15.1,12.6,13.4,14.6,10,6.7,8.1,89,8.5,1,0.2,0.1,1.1,91
Vermillion,IN,8,187,11.3,"27,402","11,410",5.9,13.2,12.5,11.7,14.1,14.8,12.5,7.5,7.8,98.8,0.4,0.1,0.2,0,0.9,94.9
Vigo,IN,311,"1,091",10.6,"27,425","66,714",6.2,12.9,17.4,13.2,12.9,13.9,10,6.2,7.4,90.8,6.1,1.5,0.3,0,1.3,97.3
Wabash,IN,36,346,10.1,"27,867","22,744",5.5,12.8,15.1,11.4,12.6,14.5,11.5,8.1,8.5,97.8,0.5,0.5,0.7,0,1.2,94.4
Warren,IN,2,95,10.9,"25,802","5,648",5.4,14.2,12.3,11.9,14.8,15.3,12.7,7.2,6.2,99.3,0.1,0.2,0.1,0,0.6,103.9
Warrick,IN,193,426,7.7,"33,586","34,571",5.9,14.3,13.3,12,14.9,16.3,12,6.4,5,97,1.3,0.9,0.2,0,1.3,98.3
Washington,IN,21,249,8.9,"25,408","17,648",6.3,14.3,12.9,13.8,14.7,14.9,10.9,6.6,5.7,99,0.3,0.2,0,0,0.8,100.7
Wayne,IN,161,778,11.2,"26,422","47,322",6.2,13.2,13.8,11.6,13.8,14.2,11.3,7.6,8.4,92.6,5.1,0.7,0.2,0,1.9,92.8
Wells,IN,47,229,8.2,"27,738","17,767",6.2,14.4,13.9,11.6,13.5,15.5,10.3,6.9,7.6,98.6,0.3,0.2,0.2,0,1.6,97.9
White,IN,20,250,10.1,"25,651","16,829",6.8,13.7,12.2,11.7,13.4,15,11.4,7.9,7.9,98.6,0.3,0.3,0.2,0.2,6.9,96.8
Whitley,IN,22,286,9,"28,926","19,995",6.6,14.1,13.6,12.7,13.8,15.7,10.5,6.5,6.5,98.5,0.2,0.4,0.3,0.1,1,99.4
Adair,IA,3,126,16,"29,222","5,695",4.5,11.2,11.8,10.2,13.1,16.2,11,9.3,12.6,99.2,0.1,0.5,0,0,0.8,96.7
Adams,IA,5,55,12.8,"27,297","3,131",4.6,11.7,10.8,10,13,15.1,12.7,9.6,12.5,99.2,0,0.2,0.5,0,0.6,96.8
Allamakee,IA,12,152,10.3,"25,579","9,946",5.5,12,12.7,11.3,14,15.3,11.5,8.5,9.2,99,0.2,0.2,0.3,0,6.9,104.5
Appanoose,IA,10,197,14.5,"23,705","9,401",5.8,11.5,12.7,12,12.9,14.5,11.8,8.7,10.2,98.5,0.7,0.4,0.1,0,1.1,94
Audubon,IA,2,114,17.6,"31,100","4,704",4.6,12.8,12.4,7.6,12.8,15.3,12.1,9.2,13.3,99.3,0.2,0.2,0.1,0,0.6,94.7
Benton,IA,9,227,8.5,"28,649","16,567",5.7,13.1,13.6,12.7,15.8,15,9.9,6.6,7.7,99.1,0.2,0.2,0.1,0,0.6,98.4
Black Hawk,IA,309,"1,145",9.1,"30,406","78,401",5.8,11.2,19.1,13.5,11.7,14.1,10.2,6.5,7.8,89.6,7.8,1.2,0.2,0.1,2.5,92.7
Boone,IA,20,248,9.4,"31,499","17,529",5.4,11.8,13.3,13.2,13.8,15.9,10.8,7.3,8.4,98.6,0.7,0.3,0.2,0,1,95.9
Bremer,IA,24,210,8.9,"32,245","14,835",4.9,11.3,18.1,10.3,12.3,14.6,12,7.7,8.8,98.4,0.5,0.6,0.1,0,0.7,93.5
Buchanan,IA,14,185,8.8,"27,778","13,383",6.7,13.6,13.6,12,13.6,14.7,11.3,6.9,7.5,98.6,0.3,0.4,0.2,0,0.7,98.9
Buena Vista,IA,18,168,8.3,"26,898","12,736",5.8,13.1,17.1,9.2,13.6,16.1,9.4,6.4,9.2,94,1.3,3.9,0.2,0,18.6,103.8
Butler,IA,3,190,12.7,"27,578","10,563",5,11.6,12.2,10.3,13,16,12.6,8.5,10.8,99.3,0.1,0.2,0,0,0.7,97.9
Calhoun,IA,10,128,12.2,"26,957","7,877",4.2,10.7,12.1,9.3,13.3,17.1,11.1,9.3,12.9,98.5,1,0.2,0.2,0,1.1,102.9
Carroll,IA,35,210,10,"30,445","14,074",5.7,12.5,13.2,10.1,13.6,15.8,10,8,11.1,98.8,0.3,0.5,0.2,0,1.4,95.7
Cass,IA,14,174,12.2,"28,407","10,296",5,11.3,12.3,9.9,12.8,15.9,11.7,9.2,12,99,0.2,0.4,0.1,0.1,1.1,95.7
Cedar,IA,8,176,9.6,"30,823","12,291",5.1,12.4,12.4,11.3,14.5,16.9,11.8,6.8,8.8,98.6,0.4,0.4,0.2,0,1.2,98.1
Cerro Gordo,IA,173,498,11.1,"32,628","31,215",5.3,12,11.6,11.9,13.8,16.4,11.3,7.9,9.7,97,1,0.8,0.2,0,3,93.2
Cherokee,IA,16,151,12.2,"29,430","8,918",4.5,11.5,12.3,9.2,12.3,17.4,12.1,9.5,11.2,98.7,0.4,0.5,0.2,0,1.9,97.9
Chickasaw,IA,5,148,11.7,"28,370","8,797",5.6,12.3,13.3,8.8,13.8,16.6,11.5,8.6,9.5,99.3,0.1,0.4,0,0,1,99.6
Clarke,IA,5,91,9.8,"26,007","6,070",6.4,12.4,12.7,10.9,13.8,15.9,11,7.3,9.6,98.7,0.1,0.4,0.4,0,6,97.4
Clay,IA,30,171,10.1,"29,950","11,692",5.7,11.8,11.8,12,13.3,16.6,10.4,8,10.4,98.6,0.2,0.9,0.1,0,1.9,95.3
Clayton,IA,13,226,12.3,"27,415","12,743",5.3,11.9,12.7,10,13.4,16.4,11.5,8.8,10,99.2,0.2,0.1,0.3,0,0.9,99.2
Clinton,IA,70,496,10,"28,283","33,158",5.4,12.7,13.1,11.4,14.3,15.6,11.4,7.6,8.4,95.9,2.2,0.6,0.3,0,1.6,96
Crawford,IA,10,169,10,"26,314","11,068",6.6,12.5,14.5,10.5,13.2,15,11.5,7.2,9,97.7,1.2,0.5,0.5,0,16.7,102.6
Dallas,IA,35,320,6.5,"35,156","26,483",5.6,13.8,14.8,17.9,16,13.9,9,4.5,4.4,96.4,1.1,1.3,0.2,0.2,5.8,98
Davis,IA,5,92,10.6,"23,210","5,578",6.9,12.9,13.3,11.1,13.1,15.1,10.9,8.3,8.4,99,0.2,0.2,0.1,0,0.9,99.8
Decatur,IA,5,73,8.5,"20,961","5,283",4.8,10.6,22,11.6,10.9,13,9.9,8.1,9.2,97,1.2,0.8,0.2,0.2,2.1,96.4
Delaware,IA,10,141,7.8,"28,954","11,784",5.5,13.5,13.8,9.9,14.8,16.1,10.5,7.4,8.5,99.4,0.1,0.2,0.1,0,0.8,98.1
Des Moines,IA,89,429,10.5,"30,231","28,425",5.9,12.6,11.5,11.4,13.7,15.5,12.7,7.5,9.1,94.1,3.8,0.7,0.3,0,2.3,94
Dickinson,IA,24,161,9.7,"33,970","11,730",4.7,10.6,11.3,11.1,12.6,16,13.1,9.3,11.2,99.1,0.2,0.2,0.2,0,0.9,95.8
Dubuque,IA,236,823,9,"30,650","57,236",6.3,12.7,14.8,11.6,14,14.9,10.7,7.2,7.8,96.9,1.3,0.7,0.1,0.1,1.5,96.3
Emmet,IA,10,110,10.4,"28,590","7,265",6.1,11,15.9,9.9,12,15.5,10.9,8,10.7,98.7,0.3,0.4,0.4,0,5,97.9
Fayette,IA,8,234,11,"25,477","14,632",5,12.3,13.6,10.3,13.4,15.3,11.2,8.4,10.6,98.2,0.8,0.5,0.1,0,1.5,97.1
Floyd,IA,13,197,11.9,"28,638","11,451",5.3,12.6,12.2,10.4,12.9,14.9,12.4,8.4,10.9,98.1,0.6,0.6,0.1,0.1,1.6,94.8
Franklin,IA,2,115,10.7,"28,123","7,362",5.5,12.1,11.5,10.9,12.8,15.7,12.3,8.2,10.9,98.9,0.1,0.4,0.2,0.2,10.5,99.7
Fremont,IA,5,90,11.6,"30,066","5,557",5.5,12,12,9.3,13.2,15.8,12.7,8.5,11,98.9,0.1,0.4,0.2,0,2.4,98.7
Greene,IA,8,123,12.3,"27,877","7,048",4.9,12.5,13,8.9,13.1,15.6,11,8.5,12.4,98.7,0.2,0.4,0.3,0,2.1,96.4
Grundy,IA,8,156,12.6,"32,152","8,465",4.7,11.8,13.2,10.1,13.4,16.2,11.8,8.3,10.4,99.3,0.1,0.3,0,0,0.7,96.1
Guthrie,IA,6,134,11.6,"29,506","7,976",5.9,11.4,12.5,11,13.4,15.3,11.9,9,9.7,99.5,0.1,0.1,0,0,1.9,98.3
Hamilton,IA,11,182,11.2,"30,552","11,094",5.3,12.7,11.8,11.5,14.4,15.5,11.2,7.7,9.8,97,0.4,1.8,0.3,0,2.1,98.9
Hancock,IA,6,126,10.7,"31,269","8,084",4.6,12.6,12.9,9.7,13.4,16.8,11.6,7.9,10.5,98.9,0.1,0.6,0.1,0,3.5,96.7
Hardin,IA,12,251,13.8,"28,057","12,615",5.4,11.3,14.2,9.4,12.2,15.8,11.2,8.3,12.1,98.5,0.8,0.3,0.1,0.1,2.9,98.6
Harrison,IA,9,178,11.3,"27,326","10,487",5.3,12.8,12.2,11.5,14.6,15.7,11,8,9,99,0.1,0.3,0.1,0,1.2,98.2
Henry,IA,24,208,10.3,"27,599","13,509",5.1,12,14.1,12.8,15.4,14.6,11.3,6.6,8.1,95.1,1.8,2.2,0.3,0,1.9,105
Howard,IA,8,125,12.8,"29,062","6,645",5.2,12.8,12,10.5,13.8,15.6,10.7,7.8,11.6,99.2,0.2,0.2,0.2,0,0.7,99.8
Humboldt,IA,6,117,11.7,"29,932","7,078",5.1,11.2,13.1,9.3,12.4,16.8,11.7,8.7,11.7,98.7,0.4,0.4,0.1,0.1,2.3,97.6
Ida,IA,1,100,13.5,"29,102","5,349",4.9,11.5,12.7,9.4,12.3,16.4,11.3,8.8,12.8,99.2,0.3,0.2,0.1,0,0.7,96
Iowa,IA,9,161,10.1,"33,079","10,565",5.6,13,12.5,11,14.8,16.3,10,8,8.8,99.2,0.2,0.3,0.1,0,1.2,95.7
Jackson,IA,19,201,9.9,"26,412","13,596",5.3,12.4,12.5,10.7,14.2,15.7,11.6,8.4,9.3,99,0.2,0.1,0.1,0.2,0.7,98.1
Jasper,IA,19,338,9,"28,622","25,291",5.7,12.3,11.7,12.8,14.9,15.3,11.4,7.4,8.5,97.3,1.2,0.6,0.3,0.1,1.3,102.6
Jefferson,IA,22,143,8.9,"28,649","10,893",4.4,10.8,13.9,10.8,11.9,20.5,14.2,6,7.5,96.6,1,1.8,0.2,0,2.2,96.7
Johnson,IA,"1,778",523,4.5,"34,556","62,859",5.7,9.5,26,18.2,12.7,12.2,7.6,4,4.1,90.5,3.3,4.4,0.3,0,2.9,96.8
Jones,IA,7,193,9.4,"24,095","13,776",4.9,11.5,13.5,13.3,15,15.2,10.9,7.4,8.3,97.1,2,0.2,0.3,0,1.4,110.3
Keokuk,IA,1,135,12,"26,648","7,667",5.7,12.6,12.3,10.9,12.6,16.1,10.9,8,10.9,99.3,0.1,0.3,0.1,0,0.7,94
Kossuth,IA,9,165,10.1,"31,732","11,694",4.7,12,12.7,7.9,12.8,17.2,12,9.5,11.2,99.1,0.2,0.4,0.2,0,1,98.2
Lee,IA,57,432,11.8,"27,997","25,828",5.3,12.1,11.6,10.8,14.3,16.7,12.8,7.6,8.9,95.1,3.1,0.6,0.2,0.1,2.6,98.9
Linn,IA,453,"1,480",7.5,"35,158","123,896",6.7,13.2,12.8,14.3,15.1,14.8,10.5,6.2,6.4,93.7,3,1.6,0.2,0.1,1.6,96.1
Louisa,IA,1,113,9.4,"28,705","7,828",6.1,13.8,12.1,11.3,15.6,15.4,10.7,7.3,7.7,99,0.3,0.2,0.1,0.2,14.1,98.3
Lucas,IA,2,105,10.9,"23,671","6,336",5.3,12.5,12.6,12.2,13.6,14.5,11.1,8.5,9.6,99,0.2,0.5,0.1,0,0.9,93.7
Lyon,IA,3,114,9.7,"26,363","7,539",6.4,13.7,13.1,11.1,13.2,15.4,9.7,7.7,9.8,99.1,0.3,0.2,0.1,0,0.5,98.7
Madison,IA,2,118,7.9,"29,495","9,254",6.2,13.2,12.8,13.3,14.2,15.8,10.7,6.8,6.9,98.9,0.2,0.2,0.3,0,0.9,97.9
Mahaska,IA,23,196,8.9,"28,562","14,504",6,12.7,14.5,11.9,14.1,15,10.2,6.7,8.8,96.9,0.9,1.2,0.2,0,1.3,99.2
Marion,IA,41,342,10.5,"29,064","20,684",5.6,12.2,15.4,12.7,13.2,14.8,10.2,7,8.7,97.9,0.5,1,0.2,0,1.1,97.7
Marshall,IA,61,450,11.4,"30,515","26,179",6.9,12.6,12.5,11.1,13.4,15.6,11.9,7.9,8.2,96.4,1.2,1,0.5,0.1,12.7,96.5
Mills,IA,14,131,8.7,"34,841","9,662",5.4,13.5,13.5,11.7,15.2,16.7,12.2,6.1,5.8,98.7,0.4,0.3,0.2,0,2.2,102.5
Mitchell,IA,5,139,12.7,"27,672","7,320",5.6,13,12.5,8.8,12.9,15.2,11,8.5,12.4,99.5,0.2,0.2,0.1,0,0.6,95.5
Monona,IA,9,177,18.3,"25,589","7,072",4.8,11.5,11,10.5,12.1,15.6,11.6,9.6,13.3,98.6,0.1,0.1,0.9,0,0.8,95.1
Monroe,IA,1,100,12.7,"28,527","5,400",5.5,12.8,12,10.9,13.8,14.5,11.7,8.4,10.5,98.8,0.3,0.4,0.4,0,0.6,97.3
Montgomery,IA,9,151,13.4,"27,401","8,124",5.4,12.8,10.7,10.5,13.6,16,12.1,8,11,98.9,0.2,0.3,0.4,0,2.4,91.4
Muscatine,IA,32,396,9.3,"32,677","26,877",6.9,13.3,13,13,14.6,15.4,11.2,6.2,6.4,96.9,1.2,1,0.3,0,13.2,99.2
O'Brien,IA,10,160,11.1,"30,007","10,174",5.2,11.6,12.8,9.2,12.3,16.3,10.5,9.6,12.5,98.8,0.3,0.6,0.2,0,1.8,96.8
Osceola,IA,2,81,11.9,"26,136","4,647",5.5,12.2,12.2,10.2,13.3,17,10.8,8.4,10.4,98.9,0.3,0.2,0.4,0,3.2,98.5
Page,IA,20,189,11.6,"27,780","11,655",4.8,11.2,12.8,12.7,13.2,15.3,10.9,8.2,11,96.1,2,0.8,0.5,0,1.9,106.4
Palo Alto,IA,9,127,13,"27,471","6,692",5.5,11.3,15,9.6,11.3,15.7,10.4,9.3,11.9,99.2,0.1,0.3,0.1,0,0.9,99.2
Plymouth,IA,18,237,9.5,"31,261","15,994",5.7,13.5,13.8,10.9,13.4,16.5,10.6,6.9,8.6,98.5,0.3,0.4,0.2,0,1.9,101.2
Pocahontas,IA,2,108,13.4,"27,006","6,002",4,11.5,12.5,6.5,12.5,17.7,12.7,9.1,13.4,99,0.3,0.3,0.2,0,1.2,95.8
Polk,IA,"1,052","2,761",7,"39,215","243,458",7.5,13.2,12.5,15.3,15.9,14.6,10.1,5.5,5.5,90.3,4.9,3,0.3,0.1,5.7,94.8
Pottawattamie,IA,122,842,9.4,"30,366","57,013",6.6,12.9,13,13.3,14.6,15.4,10.7,6.7,6.8,96.9,1,0.6,0.4,0,4.2,96.2
Poweshiek,IA,37,205,10.8,"31,210","12,176",4.9,10.8,18.1,10.7,12.2,14.6,11,7.8,9.7,97.5,0.6,1,0.3,0,1.5,92.8
Ringgold,IA,3,72,13.4,"24,739","3,781",5.7,11.5,12,9.4,12.3,14.1,11.7,10.8,12.6,99.3,0.1,0.3,0.2,0,0.6,93.6
Sac,IA,8,139,12.9,"29,480","7,946",4.9,11.6,12.7,8.2,12.2,16.5,11.2,9.3,13.5,98.8,0.4,0.3,0.1,0,1.3,97.5
Scott,IA,399,"1,279",8,"35,018","102,149",6.8,13.1,14,12.6,14.6,15.7,11.1,6.2,5.9,89.9,6.2,1.8,0.3,0,4.5,96.6
Shelby,IA,9,136,10.6,"29,559","8,957",4.8,12.6,12.6,8.3,13.7,16.4,10.8,8.9,11.7,98.9,0.2,0.4,0.3,0,0.9,97.7
SiouNA,IA,27,216,6.7,"29,308","18,172",6.8,12.6,21,10.9,11.6,13.7,8.7,6.4,8.3,98.4,0.4,0.7,0.1,0,4.9,98.2
Story,IA,168,449,5.6,"32,002","42,148",5,8.2,32,16.7,9.9,10.6,7.2,4.9,5.7,91.2,1.9,5.6,0.2,0,1.8,106.9
Tama,IA,8,180,10,"26,414","12,011",6.2,13.2,13.1,10.2,13.1,14.7,11.2,8.2,10.1,92,0.5,0.2,6.4,0,4.3,97.7
Taylor,IA,0,97,14.6,"25,539","4,766",5.1,11.7,11.3,9.8,12.5,15.3,12.1,9,13.1,99.3,0,0.4,0.1,0,3.9,93.3
Union,IA,8,154,12.8,"26,430","8,342",5.5,11.5,11.3,11.3,13.3,15.5,12.7,8.4,10.5,98.8,0.3,0.4,0.1,0,1.1,92.2
Van Buren,IA,2,100,12.9,"22,854","5,322",5.3,11.7,12.6,11.2,12.7,15.4,11.9,8.8,10.5,99.1,0,0.3,0.1,0.1,0.9,99.1
Wapello,IA,78,399,11.1,"26,994","24,120",6.3,11.9,13.3,12.9,12.8,15.1,11,7.6,9.1,96.9,1.4,0.6,0.4,0,7.2,96
Warren,IA,18,313,7.4,"32,153","25,756",5.5,13,15.7,12.3,14.8,15.4,11.1,6.7,5.6,98.1,0.4,0.5,0.2,0,1.3,95.9
Washington,IA,16,215,10.1,"30,469","13,876",6.9,12.8,12,12,13.7,14.9,10.7,7.4,9.6,98.6,0.5,0.3,0.2,0,3.8,95.5
Wayne,IA,3,97,14.7,"23,580","4,722",5.5,11.4,12.1,9.6,12.1,15.1,11.7,9.2,13.4,98.9,0,0.2,0.1,0.3,0.9,88.7
Webster,IA,77,448,11.4,"28,663","25,981",5.9,12.3,15.1,11.4,12.9,15.1,10.6,7.4,9.2,93.8,3.8,1,0.4,0,2.8,103.8
Winnebago,IA,6,107,9.4,"27,028","7,772",4.8,11.5,14.1,10.1,12.3,17.3,11.4,7.7,10.9,98.3,0.2,0.8,0.3,0,2.3,95.4
Winneshiek,IA,33,171,8.1,"31,150","12,864",4.2,10.3,22.7,9.7,12.4,14.8,9.8,7.1,8.9,98.1,0.7,0.9,0.1,0,1,98.4
Woodbury,IA,205,900,8.7,"28,824","64,932",7.6,14.4,13.7,12.8,14.1,14.5,10,6,6.9,91.6,2.3,2.4,1.9,0.1,11.2,95.9
Worth,IA,3,109,14.1,"24,783","5,476",4.9,12.3,11.1,11.2,13.9,17,11.3,8.2,10.2,99.3,0.3,0.2,0,0,1.8,99.4
Wright,IA,8,163,11.9,"33,635","9,882",5.9,12.1,11.8,9,12.9,16.5,11.3,8.6,11.8,98.9,0.2,0.3,0.3,0,7.1,98.4
Allen,KS,6,176,12.6,"25,279","9,292",6.2,12.2,14.2,11.9,12.1,14.8,11.2,7.9,9.5,95.4,2,0.3,1,0,2.3,96
Anderson,KS,8,97,11.9,"23,893","5,459",6,13.1,12.9,11.7,13,13.4,10.6,8.3,11,98,0.3,0.3,0.8,0,1.1,95.4
Atchison,KS,17,191,11.3,"24,345","10,375",6.3,12.8,18.2,11.2,12,13.3,10.2,7.4,8.6,92.2,5.7,0.4,0.5,0,2,95.6
Barber,KS,3,76,15.2,"26,371","3,646",3.9,11.5,14.2,7,12.5,17.1,12.5,9.4,11.8,98.3,0.5,0.1,0.7,0,2.1,93
Barton,KS,42,320,11.4,"31,460","18,265",6.1,13.1,14.2,10.3,12.6,15.8,10.3,8,9.5,96.5,1.6,0.3,0.5,0.2,10.5,97
Bourbon,KS,26,194,12.9,"25,001","9,965",6.7,12.7,14.6,11.9,11.8,13.9,11.4,7.3,9.6,94.4,3.4,0.4,0.7,0,1.4,95.5
Brown,KS,14,142,13.7,"28,355","7,080",6.5,12.9,13.6,9.3,12.4,15,11.5,7.9,10.9,88.3,2.1,0.5,7.3,0,2.4,94.3
Butler,KS,66,551,8.9,"30,228","37,560",5.7,14.1,15.2,12.2,14.7,16,9.7,6,6.4,95.5,1.6,0.6,0.9,0,2.6,102.6
Chase,KS,0,22,7.1,"33,696","2,081",7.8,11.4,13.7,10.1,13.6,14.4,11.4,8.2,9.5,97.6,1.3,0.2,0.6,0,3,101.9
Chautauqua,KS,2,63,15,"25,405","3,058",4.2,11.1,14.4,7.7,12,13.5,12.9,11.1,13.1,94.8,0.4,0,3.6,0,1.7,95
Cherokee,KS,5,262,12,"25,188","14,704",6.1,13.7,12.6,12,14.1,14.3,11.7,7.4,8,92.7,0.8,0.4,3.4,0,1.3,97.2
Cheyenne,KS,3,36,12.1,"22,232","2,257",4,11.7,12.1,6.3,12.8,16,11.7,9,16.5,99.2,0.1,0.3,0,0,4.3,99.2
Clark,KS,3,33,14.1,"28,531","1,640",4.6,13.5,12.5,8,12,15,11.9,9.3,13.1,98,0.3,0.4,1.2,0,5.3,96.3
Clay,KS,9,106,12.4,"31,163","6,026",4.8,11.6,13.6,10.5,12.2,15.6,11.4,8,12.3,97.9,0.8,0.2,0.5,0,1,98.8
Cloud,KS,14,153,15.7,"25,117","6,909",5.4,10.6,16,9.2,12.1,13.7,11.1,9,12.9,98.4,0.4,0.5,0.2,0,0.9,95.1
Coffey,KS,6,101,11.6,"33,134","5,932",5.7,12.7,13.9,10.5,13.8,16.6,11.6,6.8,8.5,97.9,0.3,0.6,0.4,0,1.8,96.9
Comanche,KS,1,31,16.2,"22,757","1,440",3.8,11.8,11.1,9.3,11.3,14.4,14,12.2,12.1,98.9,0,0.3,0.2,0.4,2.1,90.6
Cowley,KS,36,417,11.7,"27,097","22,982",6.4,13.2,15.8,11.4,13.1,14.4,10.6,7.2,8.1,91.6,3.3,1.7,1.8,0,5.9,97.7
Crawford,KS,56,424,11.1,"25,330","23,395",6.4,11.4,19.9,14.8,11.2,12.3,9.3,6.3,8.4,93.4,2.1,1.8,1,0.1,3.1,95.6
Decatur,KS,5,43,13.2,"26,259","2,479",4.4,10.6,12.7,5.8,12.1,16.6,11.6,11,15.3,98.8,0.7,0.1,0,0.2,1.7,98
Dickinson,KS,16,212,11.1,"26,432","13,156",5.4,12.5,13.3,10.3,13.8,15.4,11,8.6,9.6,97.3,0.9,0.3,0.4,0,3.3,96.1
Doniphan,KS,3,78,9.8,"23,211","5,176",5,13.2,15.9,11.1,12.6,15.9,10.7,6.8,8.8,94.8,2.6,0.4,1.4,0,2,97.2
Douglas,KS,219,528,5.1,"28,394","53,257",5.4,9.5,28.7,18.5,11.3,11,7.1,4.2,4.3,87.5,4.1,3.7,2.1,0.1,3.7,99.4
Edwards,KS,2,49,14.8,"29,036","2,378",6.1,12.2,12.8,8.9,13.5,15.8,10.7,9.4,10.6,98.4,0.4,0.5,0.6,0,14,95.8
Elk,KS,0,51,16.4,"22,359","2,354",4.3,10,12.8,10,11.3,14.3,13.6,10.9,12.9,97.1,0.2,0.2,1,0.1,2.6,92.1
Ellis,KS,84,240,8.9,"32,436","16,278",6.1,10,22.2,14.4,11,13.5,8.4,6.7,7.7,96.9,1,1.2,0.2,0,2.5,97.4
Ellsworth,KS,4,78,12.3,"26,390","4,660",3.5,9.5,14.6,10.8,13.5,16.8,11.7,8.6,11,94.9,4,0.3,0.5,0,3.9,115.5
Finney,KS,43,176,4.5,"22,827","22,196",9.5,18.6,14.6,12,15.7,13.5,8.3,4.1,3.6,93.9,1.3,2.6,1.1,0.1,42,100.8
Ford,KS,52,254,7.6,"24,965","18,632",9.6,16.7,14.7,15.3,14.3,11.8,7.7,4.9,5.2,94.3,2.1,1.9,0.6,0.2,46.2,108.8
Franklin,KS,19,231,8.8,"26,281","15,753",6.5,13.3,15.1,13.5,13.9,14.3,9.9,6.5,7.1,95.7,1.4,0.6,0.9,0,2.9,100.9
Geary,KS,30,182,7.2,"34,784","15,744",11.4,15.2,14.2,15.3,13,12.5,7.6,5.6,5.2,72.5,17.5,3.7,0.9,0.6,7.6,95.9
Gove,KS,7,31,11,"29,833","2,120",5.3,13,12.5,5.4,11.1,16.5,11.9,11.4,12.7,99.2,0.1,0.1,0,0,1.4,93.6
Graham,KS,3,38,13.8,"34,272","2,125",3.7,9.8,12.3,6.7,13.5,16.5,11.3,12.2,14,96.2,3.3,0.3,0.2,0,0.8,98.2
Grant,KS,6,53,6.9,"28,503","4,712",8.7,16.1,15.5,10.3,14.2,15.2,9.9,5.7,4.4,97.9,0.4,0.5,1,0,37.7,101
Gray,KS,2,45,7.5,"31,917","3,536",7.8,15.9,14.9,12,13.1,14,10.1,5.6,6.6,98.7,0.3,0,0.6,0,12.8,101.4
Greeley,KS,1,27,19.1,"28,805",983,4.2,14.3,13,6.7,14.8,17.8,10.8,8.7,9.6,98.1,0.2,0.4,0.7,0.4,12.1,98.7
Greenwood,KS,4,109,14.5,"24,818","5,343",5,11.4,12.3,11,12,14.4,12.2,9.8,11.9,97.4,0.3,0.2,1,0,2.4,97.6
Hamilton,KS,2,26,9.8,"31,909","1,727",7.3,13.1,14.4,10.9,12.5,14.8,9.3,7.5,10.2,97.5,0.7,0.5,0.5,0.8,26.5,98.2
Harper,KS,9,105,16.9,"28,962","4,462",5.3,11.8,12.4,9.2,12,15.2,11.5,9.6,12.9,97.6,0.4,0.4,0.9,0.1,1.5,94.7
Harvey,KS,89,368,10.9,"29,977","21,278",6.2,12.9,14.8,11.8,13.1,14.7,9.8,7.2,9.5,95.5,1.8,0.7,0.7,0,9.2,96.6
Haskell,KS,2,35,8.2,"35,924","2,505",7.9,17,15.4,12.8,12.2,14.7,9.1,5.8,5.2,97.8,0.2,0.7,0.7,0,27.1,102.6
Hodgeman,KS,0,35,16.5,"30,268","1,376",5.9,12.2,15,8.8,13.4,16.3,9.9,8.4,10.2,98.1,0.9,0,0.3,0,3.6,98.1
Jackson,KS,11,103,7.8,"28,697","8,228",6.7,13.5,15,11.3,13.8,14.5,10.9,6.7,7.6,90.7,1,0.3,6.3,0,2.7,98.4
Jefferson,KS,10,161,8.5,"26,424","12,127",5.5,12.9,14.6,10.9,14.5,16.1,11.8,7.4,6.4,96.8,0.6,0.2,1.1,0,1.9,101.8
Jewell,KS,3,50,14.6,"28,254","2,798",3.2,10.4,11.2,5.4,11.2,18.1,14.4,11.7,14.3,99,0.1,0.1,0.4,0,0.7,99.3
Johnson,KS,"2,388","2,834",5.7,"48,123","295,829",7,13.8,12.9,14.5,16.1,15.4,10.1,5.1,5.1,90.7,3.7,3.7,0.4,0,5.2,97.3
Kearny,KS,2,25,5.5,"22,449","2,592",7.5,17.4,15.8,11.3,13.6,14.1,9.1,5.9,5.3,97.3,0.6,0.4,1.2,0,27.9,102.5
Kingman,KS,2,121,14.5,"27,137","5,809",4.9,13.1,13.9,8.2,13,15.9,11.1,9.3,10.6,97.8,0.3,0.6,0.6,0,1.7,98.1
Kiowa,KS,3,31,10.1,"30,347","2,227",6.1,11.6,12.9,8.9,10.1,16.4,12.2,9.1,12.7,98.4,0.3,0.4,0.9,0,3.1,94.9
Labette,KS,39,306,13.8,"26,539","15,007",5.9,13,14.1,11.5,13.8,13.8,11.6,7.1,9.2,90.5,5,0.4,2,0,3.1,97.3
Lane,KS,2,26,13.5,"33,116","1,491",5.2,11.7,12.2,6.3,14.1,16.6,12.7,10.7,10.5,98.8,0,0,0.1,0.1,2.1,100.2
Leavenworth,KS,87,524,7.2,"28,521","44,792",6.3,13.7,14.1,13.8,17.3,15.2,9.7,5.5,4.6,86.2,9.8,1.2,0.8,0.2,3.6,111.6
Lincoln,KS,2,39,11.4,"21,954","2,548",5,11,12.5,8.9,11.6,18.3,11.7,9.5,11.5,98.5,0.2,0.1,0.6,0,1.8,96.9
