County,State,"Number of physicians, 2004",Number of deaths in 2004,Death Rate in 2004,Personal Income per capita 2004,Total Persons,% under 5 years,% 5- 14 years,% 15- 24 years,% 25- 34 years,% 35 - 44 years,% 45-54 years,% 55- 64 yrs,%65-74,75 +,white,african american,asian,american indian and alaska native,native hawaiian / other pacific islander,hispanic or latino,number of males per 100 females
Gaston,NC,366,"1,938",10,"29,854","127,748",6.5,13.9,11.9,14.5,15.1,14.4,11.1,6.9,5.8,83.1,14.7,1.1,0.3,0,4.8,94.3
Gates,NC,4,109,10,"23,920","7,095",5.4,13.9,13.7,11,16.1,15,11.4,7.4,6.1,62.3,36.3,0.5,0.5,0,0.8,97.9
Graham,NC,4,99,12.3,"23,763","5,622",6.2,12,10.5,12.5,13.2,13.8,13.4,10.1,8.2,91.6,0.5,0.4,7.2,0,0.9,94.9
Granville,NC,59,454,8.6,"23,490","32,641",5.9,13.3,13.5,15.2,16.6,14.4,10.1,6.1,4.8,63.8,34.2,0.6,0.7,0,5.8,115.1
Greene,NC,3,187,9.3,"23,425","12,380",6.1,13.9,13.5,16,14.6,14.3,10,6.3,5.3,59,40.2,0.1,0.4,0,10.8,106.5
Guilford,NC,"1,267","3,538",8.1,"34,604","275,494",6.8,13.3,14.2,14.1,15.1,14.1,10.4,6.2,5.8,64.3,30.9,3.1,0.5,0,5.3,93
HalifaNA,NC,83,645,11.5,"23,314","37,719",6.9,13.9,13.1,11.6,13.7,14.4,11.1,7.8,7.6,41.6,53.9,0.6,3.5,0,1.1,90.7
Harnett,NC,67,824,8.1,"24,869","57,138",7.2,15,14.6,17.5,15.5,12,8.6,5.3,4.3,74.3,22.4,0.9,0.9,0.1,8.1,97.7
Haywood,NC,134,665,11.8,"26,743","39,552",5.1,11.5,10.4,12.3,14.1,13.7,13,10.4,9.5,97.1,1.4,0.3,0.6,0,1.7,92.7
Henderson,NC,296,"1,193",12.5,"30,603","65,039",5.8,11.7,10.5,12.2,13.2,13.3,11.8,10,11.5,95.2,3.1,0.7,0.3,0,8,94.7
Hertford,NC,35,298,12.7,"22,299","14,976",6.3,12,15.9,10.7,13.2,16,11.2,7.9,6.8,35.5,62.3,0.6,1.3,0,1.9,94.3
Hoke,NC,12,274,7,"20,169","19,934",9.2,16.6,14.5,18.2,15.1,12,7,4.4,3,50.6,36.3,1,10.1,0.2,9.8,101.1
Hyde,NC,1,68,12.4,"23,692","4,190",5.2,10.6,12.2,13.3,14.7,16.4,11.3,8.6,7.6,63.9,35.3,0.4,0.4,0,1.9,114.6
Iredell,NC,269,"1,113",8.1,"29,676","82,036",6.8,14.2,11.9,14.4,15.6,14.2,10.5,6.7,5.7,84.7,12.8,1.5,0.3,0,4.8,97.6
Jackson,NC,108,318,9,"25,471","20,881",5.1,10.1,22.7,12.7,11.3,12.4,11.9,7.7,6.2,85.6,2.3,0.6,10.5,0,2,95.1
Johnston,NC,100,"1,073",7.6,"28,315","80,268",7.6,14.9,12.1,16.7,17,13,9.4,5.2,4.1,82.1,16.2,0.5,0.5,0.2,10.1,99.7
Jones,NC,14,94,9,"27,093","6,998",4.5,13.8,12.3,11.5,14.3,15.3,12,8.6,7.8,64.8,34.1,0.3,0.4,0.1,3.5,92.9
Lee,NC,100,491,9,"27,884","32,043",8.1,14.2,12.5,11.1,14.6,14.9,11.1,7.2,6.4,78,20.2,0.7,0.6,0.1,14.2,97.2
Lenoir,NC,114,663,11.4,"27,296","39,833",6.7,14,12.5,11.2,13.5,15,11.6,8.2,7.2,57.8,41.2,0.4,0.2,0.1,4.2,90.1
Lincoln,NC,55,620,9.1,"26,785","43,259",6.6,13.8,12.1,14,16,14.5,11.2,6.7,5.1,92.3,6.3,0.4,0.3,0,8.1,98.8
McDowell,NC,36,441,10.2,"23,113","29,157",6,12.6,11,15.3,14.3,14.5,11.4,8.1,6.8,94.2,4,1,0.3,0,4.2,99.1
Macon,NC,101,422,13.4,"25,848","21,908",5.1,10.9,11.2,11,11.9,13.6,13.4,11.7,11.1,96.9,1.6,0.6,0.4,0,2.3,91.7
Madison,NC,17,209,10.4,"22,893","13,409",5.4,11.8,14.2,12.5,13.2,14.1,12.3,8.8,7.8,98,1,0.4,0.3,0,1.6,98
Martin,NC,18,333,13.4,"24,851","17,014",6.3,13.6,12.3,10.8,13.4,15.5,12,8.7,7.5,54.3,44.8,0.3,0.4,0,2.3,86
Mecklenburg,NC,"2,508","4,691",6.1,"42,984","455,163",8.1,14.1,12.9,16.2,17.2,14,9.1,4.6,3.8,64.8,29.8,3.8,0.4,0.1,9.1,97.3
Mitchell,NC,24,185,11.7,"22,669","11,315",5.1,11.2,11.2,11.7,14,14.5,13.2,10.2,8.9,98.5,0.4,0.2,0.6,0,3,96.1
Montgomery,NC,17,306,11.2,"25,452","17,713",7.2,14.1,11.9,14.1,13.4,14.3,11.6,7,6.4,77.4,19.7,1.8,0.7,0,14.1,102.3
Moore,NC,344,968,12.1,"35,575","53,347",5.6,12.2,11.7,12,13.2,13,11,9.9,11.4,82.8,14.9,0.6,0.8,0.1,5.1,93.9
Nash,NC,185,918,10.1,"29,116","57,522",6.8,14,12.8,12.7,14.7,14.9,10.9,7,6.3,61.7,36.4,0.6,0.6,0,4.2,92.3
New Hanover,NC,782,"1,429",8.2,"32,607","107,671",6,11.5,14.9,15.5,14.2,13.7,10.9,7,6.2,81.2,16.3,1.1,0.4,0.1,2.7,94.7
Northampton,NC,6,293,13.6,"26,800","15,199",5.8,12.9,12.7,10.2,13,14.8,12.2,9.2,9.1,40.2,58.9,0.2,0.4,0.1,0.8,91.2
Onslow,NC,253,819,5.3,"32,705","75,286",10.1,14.1,25.8,15,11.3,9.5,6.7,4.5,2.9,75.8,17.8,2,0.9,0.2,6.6,131
Orange,NC,"2,074",696,5.9,"39,380","69,530",5.5,10.6,23,14.6,13,14.5,9.5,4.9,4.5,79,13.3,5.7,0.5,0,5.2,90.6
Pamlico,NC,11,146,11.5,"28,214","9,332",4.1,10.9,12,10.4,13.2,15.2,14.1,11,9,75.8,23,0.5,0.6,0,1.4,102
Pasquotank,NC,110,358,9.7,"24,013","22,223",6.9,13,16.7,12.8,13.9,13.7,10.1,6.3,6.6,57.9,39.5,1.2,0.4,0,1.8,94.1
Pender,NC,32,379,8.4,"24,218","28,566",5.3,12.6,12.6,13.7,14.9,14.6,12,8.1,6.3,78,20.7,0.3,0.5,0,4.6,100.2
Perquimans,NC,9,142,12.1,"25,996","7,970",5.6,11.6,12.8,11,13.1,13.9,12.9,10,9.1,74.2,25.2,0.2,0.1,0,0.7,91.5
Person,NC,39,356,9.7,"25,552","24,473",6.3,13.4,11.5,13.7,15.2,15.3,11.4,7.1,6.1,70.4,28.3,0.2,0.6,0,2.4,94.5
Pitt,NC,960,"1,048",7.5,"28,200","79,040",7.2,12.6,20.3,16.1,13.1,12.6,8.4,5.2,4.5,63.4,34.1,1.1,0.3,0,4.2,91
Polk,NC,52,276,14.6,"36,528","13,653",4.7,11.5,10,11.1,12.9,14,12.7,10.2,12.9,93.3,5.6,0.3,0.3,0,3.2,90.9
Randolph,NC,141,"1,111",8.2,"25,433","87,450",6.7,13.9,11.8,14,15.6,14.2,11.1,6.9,5.7,92.3,5.6,0.8,0.5,0,9.3,98.5
Richmond,NC,50,501,10.7,"22,900","29,870",6.9,14.5,14.4,13.2,13.3,13.2,10.8,7.1,6.5,65.5,30.9,0.8,1.9,0,3.9,97.3
Robeson,NC,139,"1,129",8.9,"20,429","74,458",8.1,15.7,14.8,15,13.7,13,9.6,5.8,4.4,35.5,24.3,0.4,38.5,0.2,7.4,96.5
Rockingham,NC,101,"1,002",10.9,"25,418","63,470",6.1,13.1,11.1,13.3,14.5,15.1,11.7,7.9,7.3,79.1,19.6,0.3,0.3,0.1,4.5,94
Rowan,NC,228,"1,288",9.6,"27,376","86,345",6.3,13.7,13.2,13.6,14.8,14,10.6,6.9,7,82.2,15.8,0.9,0.4,0,5.7,97.5
Rutherford,NC,105,761,12,"24,496","42,889",6.3,13.5,11.4,13,14.2,13.8,11.8,8.2,8,87.5,11.2,0.4,0.3,0,2.2,93.5
Sampson,NC,50,631,10.1,"24,836","38,796",7.4,14.5,13,15,14.1,13.3,9.9,7,5.8,67.5,28.9,0.4,1.8,0.7,15.1,98.7
Scotland,NC,68,351,9.5,"22,462","22,563",6.7,14.9,15.4,12.8,13.5,14.4,11.1,6.1,5.1,50.2,38.2,0.6,9.8,0,1.2,94.3
Stanly,NC,72,563,9.6,"26,251","38,702",6.1,13.6,12.9,12.9,14.8,14,11.2,7.5,6.9,86,11.6,1.7,0.3,0,3.1,98.6
Stokes,NC,22,393,8.6,"26,193","30,598",5.5,13.6,11.3,12.8,15.9,15.4,11.8,7.7,6,94.2,4.9,0.2,0.3,0.1,2.1,95.3
Surry,NC,94,775,10.7,"25,875","49,018",6.3,13.4,11.1,13.1,14.7,13.8,11.5,8.1,7.8,94.8,4,0.5,0.3,0,8.5,95.6
Swain,NC,19,156,11.9,"22,594","8,739",6.5,13.1,13,12.3,13.2,14,12,9,7,68.2,2.4,0.3,27.3,0,1.8,95.9
Transylvania,NC,80,361,12.3,"28,487","20,973",4.7,10.8,13,10.2,11.2,13.6,13.2,11.9,11.3,93.7,4.6,0.5,0.3,0,1.1,93.3
Tyrrell,NC,0,33,7.9,"22,329","2,828",5.3,10.6,12.4,14.8,16.8,15.2,9.8,7.6,7.5,59.5,38.6,1.4,0.2,0,6.6,125.6
Union,NC,161,950,6.2,"29,018","78,878",7.7,15.2,13.5,16.3,16.5,13.2,9.1,4.9,3.5,85.6,11.9,1.1,0.5,0.1,8.8,100.5
Vance,NC,67,487,11.1,"23,331","27,360",8.1,15.2,12.9,13.1,13.7,14.3,10.5,6.8,5.6,48.9,50.1,0.5,0.2,0,5.6,90.1
Wake,NC,"2,032","3,518",4.9,"37,756","403,481",7.7,14,14.2,16.3,17.2,14.2,8.8,4.3,3.3,73.2,20.6,4.4,0.4,0,7.4,99.4
Warren,NC,4,217,10.9,"20,368","13,599",5.5,12.1,13.6,12,13,14.4,11.8,9.2,8.3,39.9,54.7,0.2,4.8,0,2.2,98.1
Washington,NC,6,157,11.8,"23,858","9,091",6.4,13.9,12.5,10.4,12.1,15.6,12.9,8.5,7.7,48.8,50.2,0.6,0,0,2.7,90.6
Watauga,NC,117,285,6.7,"28,323","23,939",3.9,7.8,31.5,12.9,9.9,12,9.8,6.6,5.5,96.4,1.9,0.8,0.3,0,1.9,99.4
Wayne,NC,201,"1,105",9.7,"26,141","72,894",7.6,14.3,13.4,13.7,14.8,14.1,9.9,7,5.2,64.4,33.3,0.8,0.5,0.1,6.6,98.2
Wilkes,NC,68,647,9.7,"29,314","45,498",6.3,12.7,10.5,13.9,14.5,14.8,12.2,8.4,6.8,94.3,4.2,0.7,0.2,0.1,4.5,98.7
Wilson,NC,133,796,10.5,"28,345","48,061",7,14.1,12.8,13.5,14,14.6,10.8,7,6.1,58.9,39.5,0.7,0.3,0,8,92.3
Yadkin,NC,19,350,9.4,"25,680","24,916",6.1,13.8,10.9,13.5,15.5,14,11.6,8.1,6.6,95.6,3.6,0.3,0.2,0.1,8.5,97.4
Yancey,NC,26,195,10.8,"21,238","12,709",4.9,11.8,10.9,12.3,13.5,14.7,13.2,9.8,8.9,98.3,1,0.2,0.4,0,4.4,98.9
Adams,ND,17,40,16.3,"27,719","1,885",3.2,9.6,11.4,6,12.2,17.2,13.8,11.5,15.1,98.2,1.1,0.3,0.3,0,0.3,91.4
Barnes,ND,14,167,15,"30,164","7,792",4.7,10.3,15.1,10.2,11.2,16.5,11.9,8.2,11.8,97.8,0.8,0.3,0.8,0,0.7,93.8
Benson,ND,1,61,8.7,"20,897","3,902",9.8,16.9,16.1,9.9,12.2,12.7,10,5.8,6.5,48.1,0.1,0,51.2,0.1,2.5,98.9
Billings,ND,0,3,3.6,"32,522",644,4.7,8.5,13.7,8.2,14.1,22.9,14.6,5.5,7.7,99.5,0,0,0.1,0,0.5,106.9
Bottineau,ND,6,81,11.9,"32,209","4,973",4.1,9.6,14.3,6.7,12.2,17.6,14.8,8.6,12.1,96.9,0.3,0.5,1.8,0,0.7,103.1
Bowman,ND,4,44,14.2,"34,420","2,290",4.3,10.1,11.9,7,12.5,18.8,12.8,9.7,12.9,99.5,0,0,0.2,0,0.7,93.6
Burke,ND,1,22,10.6,"34,141","1,687",4,9.7,9.1,5.1,12.5,17.8,18,10.9,12.9,99.3,0.3,0.1,0.2,0,0.6,100.6
Burleigh,ND,317,460,6.3,"34,053","44,636",5.7,11.3,14.4,15.7,13.6,15.9,10.5,6.2,6.7,94.4,0.3,0.5,3.9,0,0.9,95.8
Cass,ND,613,767,5.9,"34,978","74,668",6.3,11.1,18,18.9,13.6,13.9,8.5,4.6,5.1,95.2,1.3,1.2,1.2,0,1.5,100.9
Cavalier,ND,7,52,11.8,"31,667","3,462",3.9,10.2,11.3,3.7,11.4,18.9,15.6,11.9,13.1,98.8,0.2,0.1,0.5,0,0.8,99.8
Dickey,ND,5,76,13.6,"35,486","3,815",6.2,11.7,14.9,8.7,10.8,15.1,11.6,9.1,11.9,97.8,0.1,0.9,0.6,0,2.3,100.2
Divide,ND,1,30,13.7,"28,453","1,741",3.1,8.5,10.9,5.9,12.1,16.2,15.9,11.3,16.2,99.1,0,0.7,0.2,0,0.8,101.8
Dunn,ND,0,35,10.1,"26,648","2,393",4.3,12.1,13.6,7.6,12.6,18.9,13.7,8.4,8.9,86.8,0.1,0.2,12.9,0,1.1,105
